"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4297090","386053000","Evaluation procedure","Procedure","Standard","4,613,220","37,453,617,477","0","0","Procedure","SNOMED","1"
"","4040390","118664000","Procedure on body system","Procedure","Standard","0","10,584,061,821","0","0","Procedure","SNOMED","1"
"","4023995","106063007","Cardiovascular finding","Clinical Finding","Standard","7,269","6,706,180,418","0","0","Observation","SNOMED","1"
"","134057","49601007","Disorder of cardiovascular system","Disorder","Standard","29,378,216","6,398,674,019","0","0","Condition","SNOMED","1"
"","320136","50043002","Disorder of respiratory system","Disorder","Standard","13,159,853","5,248,569,253","0","0","Condition","SNOMED","2"
"","4201944","315306007","Examination by method","Procedure","Standard","2,164","5,084,866,378","0","0","Procedure","SNOMED","1"
"","4043346","118946009","Disorder of thorax","Disorder","Standard","1,129,204","4,874,217,975","0","0","Condition","SNOMED","1"
"","4021166","225365006","Care regime","Procedure","Standard","2,279,033","4,622,031,863","0","0","Observation","SNOMED","1"
"","4240345","5880005","Physical examination","Procedure","Standard","2,323,892","3,901,288,709","0","0","Procedure","SNOMED","1"
"","4181663","363787002","Observable entity","Observable Entity","Standard","10,676","3,601,653,568","0","0","Observation","SNOMED","1"
"","443783","27624003","Chronic disease","Disorder","Standard","12,365","2,581,873,806","0","0","Condition","SNOMED","1"
"","321588","56265001","Heart disease","Disorder","Standard","21,213,680","2,573,890,436","0","0","Condition","SNOMED","1"
"","4103320","301186004","Upper respiratory tract finding","Clinical Finding","Standard","242","2,517,721,994","0","0","Condition","SNOMED","1"
"","320128","59621000","Essential hypertension","Disorder","Standard","2,020,798,148","2,517,115,224","0","0","Condition","SNOMED","3"
"","432250","40733004","Infectious disease","Disorder","Standard","27,507,855","2,214,963,521","0","0","Condition","SNOMED","2"
"","4006969","111273006","Acute respiratory disease","Disorder","Standard","38,996","1,650,838,528","0","0","Condition","SNOMED","2"
"","4042746","167018008","Blood gas measurement","Procedure","Standard","184,110","1,623,810,178","0","0","Measurement","SNOMED","1"
"","253549","105969002","Disorder of connective tissue","Disorder","Standard","3,597,306","1,616,320,234","0","0","Condition","SNOMED","1"
"","4027553","128272009","Disorder of lower respiratory system","Disorder","Standard","200","1,593,019,330","0","0","Condition","SNOMED","1"
"","4115259","301226008","Lower respiratory tract finding","Clinical Finding","Standard","31,834","1,548,335,676","0","0","Condition","SNOMED","2"
"","443784","27550009","Vascular disorder","Disorder","Standard","240,187","1,277,830,646","0","0","Condition","SNOMED","1"
"","4115260","301230006","Lung finding","Clinical Finding","Standard","1,858","1,115,923,199","0","0","Condition","SNOMED","1"
"","4194895","312851005","Screening for disorder","Procedure","Standard","50,095,339","910,753,823","0","0","Measurement","SNOMED","1"
"","4115386","301282008","Finding of respiration","Clinical Finding","Standard","3,248","907,172,552","0","0","Condition","SNOMED","1"
"","37109774","723620004","Requires vaccination","Clinical Finding","Standard","729,642,786","735,405,665","0","0","Observation","SNOMED","1"
"","4170143","275498002","Respiratory tract infection","Disorder","Standard","893,920","687,284,907","0","0","Condition","SNOMED","3"
"","4288734","68917000","Bronchiolar disease","Disorder","Standard","200","595,751,378","0","0","Condition","SNOMED","2"
"","316139","84114007","Heart failure","Disorder","Standard","91,976,792","595,474,171","0","0","Condition","SNOMED","1"
"","4186898","413839001","Chronic lung disease","Disorder","Standard","35,476","572,203,327","0","0","Condition","SNOMED","2"
"","313217","49436004","Atrial fibrillation","Disorder","Standard","406,678,989","514,163,626","0","0","Condition","SNOMED","1"
"","4028741","10725009","Benign hypertension","Disorder","Standard","4,790,171","474,635,313","0","0","Condition","SNOMED","2"
"","312648","1201005","Benign essential hypertension","Disorder","Standard","469,175,349","469,178,819","0","0","Condition","SNOMED","2"
"","4112341","195647007","Acute respiratory infections","Disorder","Standard","295,249","447,108,391","0","0","Condition","SNOMED","2"
