"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","3177736","402427003","Accelerated rheumatoid nodulosis","Clinical Finding","Non-Standard","07/30/2003","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4292371","402427003","Accelerated rheumatoid nodulosis","Disorder","Standard","07/30/2003","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4297649","402428008","Accelerated rheumatoid nodulosis caused by methotrexate","Disorder","Standard","07/30/2003","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3417482","402428008","Accelerated rheumatoid nodulosis due to methotrexate","Clinical Finding","Non-Standard","07/30/2003","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","42535150","16024431000119108","Acute polyarticular juvenile idiopathic arthritis","Disorder","Standard","01/30/2018","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45520374","N043100","Acute polyarticular juvenile rheumatoid arthritis","Read","Non-Standard","12/31/1969","12/30/2099","100","100","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3254856","75822003","Acute polyarticular juvenile rheumatoid arthritis","Clinical Finding","Non-Standard","01/30/2002","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","437897","18192007","Acute rheumatic endocarditis","Disorder","Standard","01/30/2002","12/30/2099","78,911","78,911","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","631792","b4119275-536d-48af-8a60-398872575365","adenosinum triphosphoricum dinatrum, malic acid, natrum oxalaceticum, oroticum acidum, riboflavinum,... 6[hp_X]/mL / 9[hp_C]/mL / 12[hp_X]/mL / 13[hp_C]/mL / 14[hp_C]/mL / 15[hp_C]/mL / 15[hp_X]/mL / 17[h ORAL LIQUID [rheumatoid arthritis nosode]","OTC Drug","Classification","06/20/2014","12/30/2099","0","0","0","0","Drug","SPL","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44373740","38bbd8c7-7a40-4e57-872b-5229d417c266","adenosinum triphosphoricum dinatrum, malic acid, natrum oxalaceticum, oroticum acidum, riboflavinum,... 6[hp_X]/mL / 9[hp_C]/mL / 12[hp_X]/mL / 13[hp_C]/mL / 14[hp_C]/mL / 15[hp_C]/mL / 15[hp_X]/mL / 17[h ORAL LIQUID [rheumatoid arthritis nosode]","OTC Drug","Classification","06/20/2014","12/30/2099","0","0","0","0","Drug","SPL","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4230511","359821004","Agglutination assay","Procedure","Standard","01/30/2002","12/30/2099","0","9,347,795","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4252581","7436001","Alveolar pneumopathy","Disorder","Standard","01/30/2002","12/30/2099","84,018","5,793,630","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","1419105","M05.101","Alveolitis associated with rheumatoid arthritis (machine translation)","ICD10 code","Non-Standard","12/31/2015","12/30/2099","0","0","0","0","Condition","ICD10CN","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3049126","48498-0","Amyloid A [Mass/volume] in Serum or Plasma","Lab Test","Standard","02/15/2007","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4234268","359788000","ANA measurement","Procedure","Standard","01/30/2002","12/30/2099","3,054,117","12,946,356","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","2101755","01810","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand","CPT4","Standard","12/31/1969","12/30/2099","6,511,638","6,511,638","0","0","Procedure","CPT4","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4182009","298171004","Ankle joint inflamed","Clinical Finding","Standard","01/30/2002","12/30/2099","13,295","47,384","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","437082","9631008","Ankylosing spondylitis","Disorder","Standard","01/30/2002","12/30/2099","6,284,758","6,321,607","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4211939","416666007","Anterior uveitis due to juvenile idiopathic arthritis","Disorder","Standard","07/30/2005","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3332910","416666007","Anterior uveitis in juvenile rheumatoid arthritis","Clinical Finding","Non-Standard","07/30/2006","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4149355","3527003","Antibody measurement","Procedure","Standard","01/30/2002","12/30/2099","1,132,879","360,137,015","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37160399","1162336001","Anti-citrullinated protein antibody positive erosive rheumatoid arthritis","Disorder","Standard","09/29/2021","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4324558","7120007","Antigen","Substance","Standard","01/30/2002","12/30/2099","0","732,669","0","0","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4005184","121276004","Antigen assay","Procedure","Standard","01/30/2002","12/30/2099","90,327","590,703,126","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4125105","259814000","Anti-immunoglobulin antibody","Substance","Standard","01/30/2002","12/30/2099","0","466","0","0","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4163958","45530001","Antinuclear antibody","Substance","Standard","01/30/2002","12/30/2099","176","776","0","0","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3181169","85155002","Anti rheumatoid associated nuclear antigen antibody","Substance","Non-Standard","01/30/2002","12/30/2099","0","0","0","0","Observation","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4324395","70933002","Aortitis","Disorder","Standard","01/30/2002","12/30/2099","17,756","312,053","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","835046","80353055102","ARCHIBONE - rheumatoid arthritis and osteoarthritis recovery, and cartilage restore capsule","11-digit NDC","Non-Standard","01/01/1970","12/30/2099","0","0","0","0","Drug","NDC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","1117855","d0a28ea1-46a4-cdcf-e053-2a95a90a0e8b","ARCHIBONE - rheumatoid arthritis and osteoarthritis recovery, and cartilage restore capsule","OTC Drug","Classification","12/24/2023","12/30/2099","0","0","0","0","Drug","SPL","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","835124","80353055103","ARCHIBONE - rheumatoid arthritis and osteoarthritis recovery, and cartilage restore capsule","11-digit NDC","Non-Standard","01/01/1970","12/30/2099","0","0","0","0","Drug","NDC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","314659","52089001","Arteritis","Disorder","Standard","01/30/2002","12/30/2099","3,768,689","5,815,849","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4291025","3723001","Arthritis","Disorder","Standard","01/30/2002","12/30/2099","7,765,301","324,325,384","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36310323","LA27855-8","Arthritis (e.g., degenerative joint disease (DJD), osteoarthritis, and rheumatoid arthritis (RA))","Answer","Standard","12/31/1969","12/30/2099","0","0","0","0","Meas Value","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4323882","429459001","Arthritis of acromioclavicular joint","Disorder","Standard","01/30/2008","12/30/2099","92,814","93,214","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4205509","439656005","Arthritis of elbow","Disorder","Standard","01/30/2009","12/30/2099","70,009","28,938,801","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40490497","448589005","Arthritis of hand","Disorder","Standard","07/30/2011","12/30/2099","391,379","2,422,264","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4286642","68449006","Arthritis of hip","Disorder","Standard","01/30/2002","12/30/2099","374,228","891,390","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37173819","661601000124101","Arthritis of joint of left hand","Disorder","Standard","02/28/2023","12/30/2099","0","6,532","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37173822","661621000124106","Arthritis of joint of left shoulder region","Disorder","Standard","02/28/2023","12/30/2099","0","4,400,791","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37173695","661671000124107","Arthritis of joint of right hand","Disorder","Standard","02/28/2023","12/30/2099","0","3,579","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37173825","661681000124105","Arthritis of joint of right shoulder region","Disorder","Standard","02/28/2023","12/30/2099","0","4,001,422","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4176008","428143003","Arthritis of joint of toe","Disorder","Standard","01/30/2008","12/30/2099","9,875","41,350","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4159739","371081002","Arthritis of knee","Disorder","Standard","07/30/2002","12/30/2099","1,633,713","12,499,283","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37108612","1074881000119106","Arthritis of left ankle","Disorder","Standard","07/30/2017","12/30/2099","1,260","2,163","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37108605","1074691000119105","Arthritis of left elbow","Disorder","Standard","07/30/2017","12/30/2099","253","940","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37108613","1074891000119109","Arthritis of left foot","Disorder","Standard","07/30/2017","12/30/2099","1,374","2,681","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
