"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","765527","678611000119102","Age-related nuclear cataract of left eye","Disorder","Standard","08/31/2015","12/30/2099","1,666","12,866","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","764824","678621000119109","Age-related nuclear cataract of right eye","Disorder","Standard","08/31/2015","12/30/2099","1,612","12,812","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3300132","678601000119100","Age-related nuclear cataracts of both eyes","Clinical Finding","Non-Standard","08/31/2015","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","761591","15737801000119107","Anterior subcapsular cataract of bilateral eyes","Disorder","Standard","08/31/2016","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","372315","1412008","Anterior subcapsular polar cataract","Disorder","Standard","01/30/2002","12/30/2099","84,621","434,951","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45794015","99277d8a-196f-3b89-7274-d5f64fcbe93b","arsenicum alb., bryonia, calc. fluor., calendula, causticum, conium , euphrasia, hydrofluoricum acid... 15[hp_X]/g ORAL PELLET [cataracts]","Prescription Drug","Classification","05/31/2011","12/30/2099","0","0","0","0","Drug","SPL","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","42515934","97deaa52-5afc-0186-e053-2995a90ab179","arsenicum alb., bryonia, calc. fluor., calendula, causticum, conium , euphrasia, hydrofluoricum acid... 15[hp_X]/mL ORAL LIQUID [cataracts-adjunctive complex]","Prescription Drug","Classification","01/30/2019","12/30/2099","0","0","0","0","Drug","SPL","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45630735","000950e6-1774-b77d-e8c2-bd12a396e544","arsenicum alb., bryonia, calc. fluor., calendula, causticum, conium , euphrasia, hydrofluoricum acid... 3[hp_X]/mL / 15[hp_X]/mL ORAL LIQUID [cataracts]","Prescription Drug","Classification","05/31/2011","12/30/2099","0","0","0","0","Drug","SPL","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4312226","85995004","Autosomal recessive hereditary disorder","Disorder","Standard","01/30/2002","12/30/2099","295","16,837,679","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","760555","10999361000119103","Bilateral age-related cataract","Disorder","Standard","08/31/2015","12/30/2099","0","11,200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","764823","678601000119100","Bilateral age-related nuclear cataracts","Disorder","Standard","08/31/2015","12/30/2099","11,200","11,200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3662352","15737681000119103","Bilateral anterior subcapsular polar cataract","Disorder","Standard","07/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3657141","680531000119103","Bilateral cataract of eyes caused by drug","Disorder","Standard","07/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3657025","343191000119102","Bilateral cataract of eyes due to and following trauma","Disorder","Standard","07/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45466793","F466.00","Bilateral cataracts","Read","Non-Standard","12/31/1969","12/30/2099","72,881","72,881","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4317977","95722004","Bilateral cataracts","Disorder","Standard","01/30/2002","12/30/2099","367,735","380,845","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3349696","95722004","Bilateral cataracts","Clinical Finding","Non-Standard","01/30/2008","12/30/2099","0","0","0","0","Condition","Nebraska Lexicon","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37310624","346731000119106","Bilateral congenital anterior subcapsular polar cataracts","Disorder","Standard","01/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37169187","15665801000119104","Bilateral congenital capsular cataracts","Disorder","Standard","06/29/2022","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36684791","346721000119108","Bilateral congenital cataract of eyes","Disorder","Standard","01/30/2019","12/30/2099","0","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3657068","346711000119101","Bilateral congenital combined form cataract of eyes","Disorder","Standard","07/30/2020","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37207996","346701000119104","Bilateral congenital nuclear cataracts of eyes","Disorder","Standard","07/30/2019","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37207995","346691000119104","Bilateral congenital posterior subcapsular polar cataracts of eyes","Disorder","Standard","07/30/2019","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36684796","347071000119105","Bilateral eye brunescent cataract","Disorder","Standard","01/30/2019","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37208008","347581000119104","Bilateral hypermature senile cataracts of eyes","Disorder","Standard","07/30/2019","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","764825","678671000119105","Bilateral incipient cataracts","Disorder","Standard","08/31/2015","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37208009","347601000119108","Bilateral senile combined form cataracts of eyes","Disorder","Standard","07/30/2019","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","321319","85898001","Cardiomyopathy","Disorder","Standard","01/30/2002","12/30/2099","25,464,398","89,891,953","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","761598","15738321000119106","Cataract of bilateral eyes due to inflammatory disorder","Disorder","Standard","02/29/2016","12/30/2099","0","0","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37311301","816119002","Cataract of left eye","Disorder","Standard","01/30/2020","12/30/2099","0","382,742","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","765241","15736881000119101","Cataract of lens capsule of bilateral eyes","Disorder","Standard","02/29/2016","12/30/2099","0","1,410","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
