"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4274025","64572001","Disease","Disorder","Standard","17,288,599","44,419,416,814","0","0","Condition","SNOMED","1"
"","4297090","386053000","Evaluation procedure","Procedure","Standard","4,613,220","37,453,617,477","0","0","Procedure","SNOMED","1"
"","4040390","118664000","Procedure on body system","Procedure","Standard","0","10,584,061,821","0","0","Procedure","SNOMED","1"
"","255919","118254002","Finding of head and neck region","Clinical Finding","Standard","24,812,866","8,826,550,406","0","0","Condition","SNOMED","1"
"","134057","49601007","Disorder of cardiovascular system","Disorder","Standard","29,378,216","6,398,674,019","0","0","Condition","SNOMED","1"
"","4042836","118934005","Disorder of head","Disorder","Standard","5,622,123","5,278,692,231","0","0","Condition","SNOMED","1"
"","4244662","928000","Disorder of musculoskeletal system","Disorder","Standard","9,849,663","4,714,258,025","0","0","Condition","SNOMED","1"
"","4182161","298364001","Finding of head region","Clinical Finding","Standard","100","4,394,841,762","0","0","Condition","SNOMED","1"
"","432795","417163006","Traumatic or non-traumatic injury","Disorder","Standard","22,259,270","2,796,363,475","0","0","Condition","SNOMED","1"
"","4344497","239953001","Soft tissue lesion","Disorder","Standard","13,681","2,583,807,484","0","0","Condition","SNOMED","1"
"","4179873","362975008","Degenerative disorder","Disorder","Standard","3,151,105","2,568,936,598","0","0","Condition","SNOMED","1"
"","376337","118940003","Disorder of nervous system","Disorder","Standard","6,308,751","2,376,019,767","0","0","Condition","SNOMED","3"
"","443784","27550009","Vascular disorder","Disorder","Standard","240,187","1,277,830,646","0","0","Condition","SNOMED","1"
"","376106","23853001","Disorder of the central nervous system","Disorder","Standard","1,149,824","1,225,242,595","0","0","Condition","SNOMED","2"
"","4042503","118947000","Disorder of upper limb","Disorder","Standard","23,107","1,188,769,237","0","0","Condition","SNOMED","1"
"","4101796","299718000","Finding of brain","Clinical Finding","Standard","1,286","1,165,241,485","0","0","Condition","SNOMED","1"
"","435244","5294002","Developmental disorder","Disorder","Standard","2,101,927","902,324,205","0","0","Condition","SNOMED","1"
"","321887","359557001","Disorder of artery","Disorder","Standard","5,917,354","723,944,912","0","0","Condition","SNOMED","1"
"","4114166","301139003","Systemic arterial finding","Clinical Finding","Standard","2,687","628,255,807","0","0","Condition","SNOMED","1"
"","45771096","700364009","Neurodevelopmental disorder","Disorder","Standard","831","582,922,672","0","0","Condition","SNOMED","1"
"","4163873","399210005","Neurological investigation","Procedure","Standard","2,709","552,069,246","0","0","Procedure","SNOMED","1"
"","4162723","373930000","Cognitive function finding","Clinical Finding","Standard","37,061","529,804,454","0","0","Observation","SNOMED","1"
"","4042642","118679007","Procedure on central nervous system","Procedure","Standard","1,000","524,871,461","0","0","Procedure","SNOMED","1"
"","443432","386806002","Impaired cognition","Clinical Finding","Standard","1,623,744","494,058,488","0","0","Condition","SNOMED","2"
"","4309063","844005","Behavior finding","Clinical Finding","Standard","1,980,280","347,276,940","0","0","Observation","SNOMED","1"
