"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","37399124","1003721000000104","120 minute blood glucose level","Observable Entity","Non-Standard","03/31/2016","12/30/2099","16,562","16,562","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4198718","313545000","120 minute blood glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","25,402","25,668","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4210724","313876004","120 minute plasma GH measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4209254","313627007","120 minute plasma glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","100","100","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Glucose measurement, bloodGlucose measurement, body fluid120 minute blood glucose measurementGlucose measurement, plasmaMeasurement of substance'"">5"
"","4210854","313926000","120 minute serum GH measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4197835","313631001","120 minute serum glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","166","166","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Glucose measurement, blood120 minute blood glucose measurementMeasurement of substanceGlucose measurement, serum'"">4"
"","37392412","1003731000000102","150 minute blood glucose level","Observable Entity","Non-Standard","03/31/2016","12/30/2099","100","100","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4193852","313624000","150 minute blood glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4210852","313916007","150 minute plasma GH measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4198731","313628002","150 minute plasma glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Glucose measurement, bloodGlucose measurement, body fluid150 minute blood glucose measurementGlucose measurement, plasmaMeasurement of substance'"">5"
"","4210855","313931003","150 minute serum GH measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4195213","313810002","150 minute serum glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Glucose measurement, blood150 minute blood glucose measurementMeasurement of substanceGlucose measurement, serum'"">4"
"","44805579","754261000000106","180 minute plasma glucose measurement","Procedure","Standard","09/30/2010","12/30/2099","14,740","14,740","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4234906","440576000","240 minute plasma glucose measurement","Procedure","Standard","01/30/2009","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37394345","1030551000000103","2 hour post-prandial blood glucose level","Observable Entity","Non-Standard","03/31/2016","12/30/2099","8,717","8,717","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4258832","440620002","300 minute plasma glucose measurement","Procedure","Standard","01/30/2009","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37392409","1003691000000108","30 minute blood glucose level","Observable Entity","Non-Standard","03/31/2016","12/30/2099","100","100","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4198733","313637002","30 minute blood glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","29,534","29,876","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4198895","313875000","30 minute plasma GH measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4193853","313625004","30 minute plasma glucose measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Glucose measurement, bloodGlucose measurement, body fluid30 minute blood glucose measurementGlucose measurement, plasmaMeasurement of substance'"">5"
"","4198896","313877008","30 minute serum GH measurement","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
