Unnamed: 0,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
,3031082,43135-3,17-Ketosteroids and 17-Ketogenic steroids panel - 24 hour Urine,Lab Test,Standard,12/31/1969,12/30/2099,0,"740,245",0,0,Measurement,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4150339,271068005,24 hour urine sample volume measurement,Procedure,Standard,01/30/2002,12/30/2099,"107,785","107,785",0,0,Measurement,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,37017448,713724000,Abdominal hernia as complication of peritoneal dialysis,Disorder,Standard,01/30/2016,12/30/2099,200,200,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,200219,21522001,Abdominal pain,Clinical Finding,Standard,01/30/2002,12/30/2099,"387,135,408","806,456,894",0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,36696034,781084007,"Accidental cut, puncture, perforation or hemorrhage during kidney dialysis",Navi Concept,Non-Standard,01/30/2019,12/30/2099,0,0,0,0,Metadata,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,37059446,LP387289-4,Acetate | Dialysis fluid | Drug toxicology,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4229318,358355001,Acetate free continuous hemodialysis solution,Pharma/Biol Product,Standard,01/30/2002,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dialysis fluid'"">1"
,4231608,358357009,Acetate free hemofiltration solution,Pharma/Biol Product,Standard,01/30/2002,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dialysis fluid'"">1"
,4229313,358250008,Acetate hemodialysis dry concentrate,Pharma/Biol Product,Standard,01/30/2002,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dialysis fluid'"">1"
,4233996,358246001,Acetate hemodialysis liquid concentrate,Pharma/Biol Product,Standard,01/30/2002,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dialysis fluid'"">1"
,3025970,16307-1,Acetate [Mass/volume] in Dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4005696,121358008,Acetate measurement,Procedure,Standard,01/30/2002,12/30/2099,"1,839","2,439",0,0,Measurement,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4229312,358244003,Acid hemodialysis liquid concentrate,Pharma/Biol Product,Standard,01/30/2002,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dialysis fluid'"">1"
,4230849,358247005,Acidic bicarbonate hemodialysis dry concentrate,Pharma/Biol Product,Standard,01/30/2002,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dialysis fluid'"">1"
,36712772,11011871000119101,Acquired arteriovenous fistula,Disorder,Standard,01/30/2017,12/30/2099,"449,018","463,601",0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4196614,433810007,Active cooling of subject using peritoneal dialysis fluid,Procedure,Standard,07/30/2008,12/30/2099,0,0,0,0,Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4329655,431917004,Active core cooling of subject,Procedure,Standard,07/30/2008,12/30/2099,0,0,0,0,Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4328014,431208008,Active core warming of subject,Procedure,Standard,07/30/2008,12/30/2099,0,0,0,0,Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4161526,433693008,Active warming of subject using peritoneal dialysis fluid,Procedure,Standard,07/30/2008,12/30/2099,0,0,0,0,Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,762711,430901000124109,Acute dialysis program,Procedure,Standard,08/31/2012,12/30/2099,0,0,0,0,Observation,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,443883,2704003,Acute disease,Disorder,Standard,01/30/2002,12/30/2099,"82,892","2,674,378,091",0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4126124,236538004,Acute disorder of hemodialysis,Disorder,Standard,01/30/2002,12/30/2099,0,300,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Complication of extracorporeal circulationComplication of renal dialysisComplication of procedureComplication of perfusionAcute diseaseProcedure related findingComplication of dialysisDisease'"">8"
,197320,14669001,Acute kidney injury,Disorder,Standard,01/30/2002,12/30/2099,"138,248,426","138,933,373",0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4220697,82430007,Acute megaloblastic anemia,Disorder,Standard,01/30/2002,12/30/2099,"1,094","1,594",0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4097961,26944003,Acute megaloblastic anemia due to dialysis,Disorder,Standard,01/30/2002,12/30/2099,100,100,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4132090,127339009,Acute metabolic disorder,Disorder,Standard,01/30/2002,12/30/2099,100,"44,206,873",0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4132091,127341005,Acute nervous system disorder,Disorder,Standard,01/30/2002,12/30/2099,100,"7,273,702",0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,45757398,129721000119106,Acute renal failure on dialysis,Disorder,Standard,01/30/2015,12/30/2099,390,390,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,37074386,LP382676-7,Adenosine deaminase | Dialysis fluid peritoneal | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,40762116,59023-2,Adenosine deaminase [Enzymatic activity/volume] in Peritoneal dialysis fluid,Lab Test,Standard,03/08/2010,12/30/2099,0,0,0,0,Measurement,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4014887,104471003,Adenosine deaminase measurement,Procedure,Standard,01/30/2002,12/30/2099,977,"5,770",0,0,Measurement,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
