"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","37017448","713724000","Abdominal hernia as complication of peritoneal dialysis","Disorder","Standard","01/30/2016","12/30/2099","200","200","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36696034","781084007","Accidental cut, puncture, perforation or hemorrhage during kidney dialysis","Navi Concept","Non-Standard","01/30/2019","12/30/2099","0","0","0","0","Metadata","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37059446","LP387289-4","Acetate | Dialysis fluid | Drug toxicology","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3025970","16307-1","Acetate [Mass/volume] in Dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4196614","433810007","Active cooling of subject using peritoneal dialysis fluid","Procedure","Standard","07/30/2008","12/30/2099","0","0","0","0","Procedure","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4161526","433693008","Active warming of subject using peritoneal dialysis fluid","Procedure","Standard","07/30/2008","12/30/2099","0","0","0","0","Procedure","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","762711","430901000124109","Acute dialysis program","Procedure","Standard","08/31/2012","12/30/2099","0","0","0","0","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4097961","26944003","Acute megaloblastic anemia due to dialysis","Disorder","Standard","01/30/2002","12/30/2099","100","100","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45757398","129721000119106","Acute renal failure on dialysis","Disorder","Standard","01/30/2015","12/30/2099","390","390","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37074386","LP382676-7","Adenosine deaminase | Dialysis fluid peritoneal | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40762116","59023-2","Adenosine deaminase [Enzymatic activity/volume] in Peritoneal dialysis fluid","Lab Test","Standard","03/08/2010","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4089852","251866006","Adequacy of dialysis","Observable Entity","Standard","01/30/2002","12/30/2099","100","8,315","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4268532","365399009","Adequacy of dialysis - finding","Clinical Finding","Non-Standard","01/30/2002","12/30/2099","372,478","372,478","0","0","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4092503","251867002","Adequacy of peritoneal dialysis","Observable Entity","Standard","01/30/2002","12/30/2099","578","4,204","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4031314","238315007","Adjustment of chronic ambulatory peritoneal dialysis catheter","Procedure","Standard","01/30/2002","12/30/2099","0","0","0","0","Procedure","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37109379","443101000124104","Adult dialysis renal specialty formula","Pharma/Biol Product","Standard","08/31/2014","12/30/2099","0","0","0","0","Device","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37109412","446161000124106","Adult dialysis specialty formula","Pharma/Biol Product","Standard","02/28/2015","12/30/2099","0","0","0","0","Device","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37109378","443091000124105","Adult non-dialysis renal specialty formula","Pharma/Biol Product","Standard","08/31/2014","12/30/2099","0","0","0","0","Device","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","765777","430931000124101","Air force dialysis program","Procedure","Standard","08/31/2012","12/30/2099","0","0","0","0","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37077719","LP382699-9","Alanine aminotransferase | Dialysis fluid | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3028946","50168-4","Alanine aminotransferase [Enzymatic activity/volume] in Dialysis fluid","Lab Test","Standard","09/05/2007","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","1023079","LP307330-3","Albumin^2H post peritoneal dialysis","LOINC Component","Non-Standard","12/31/1969","12/30/2099","0","0","0","0","Observation","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","1023080","LP307331-1","Albumin^4H post peritoneal dialysis","LOINC Component","Non-Standard","12/31/1969","12/30/2099","0","0","0","0","Observation","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37033544","LP384479-4","Albumin | Dialysis fluid peritoneal | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3041198","40599-3","Albumin [Mass/volume] in Peritoneal dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3016915","23806-3","Albumin [Mass/volume] in Peritoneal fluid --2 hours post peritoneal dialysis","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3008335","23807-1","Albumin [Mass/volume] in Peritoneal fluid --4 hours post peritoneal dialysis","Lab Test","Standard","12/31/1969","12/30/2099","100","100","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3018721","21058-3","Albumin [Mass/volume] in Serum or Plasma --2 hours post peritoneal dialysis","Lab Test","Standard","12/31/1969","12/30/2099","200","200","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4097664","26758005","Albumin measurement","Procedure","Standard","01/30/2002","12/30/2099","7,241,231","600,530,991","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37047958","LP384518-9","Albumin/Protein.total | Dialysis fluid | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40757595","54464-3","Albumin/Protein.total in Dialysis fluid by Electrophoresis","Lab Test","Standard","01/11/2009","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37032293","LP382720-3","Alkaline phosphatase | Dialysis fluid | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40762257","59164-4","Alkaline phosphatase [Enzymatic activity/volume] in Dialysis fluid","Lab Test","Standard","03/15/2010","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4163946","294299005","Allergy to dialysis fluid","Clinical Finding","Standard","01/30/2002","12/30/2099","0","0","0","0","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37065092","LP384641-9","Alpha 1 globulin/Protein.total | Dialysis fluid | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40757596","54465-0","Alpha 1 globulin/Protein.total in Dialysis fluid by Electrophoresis","Lab Test","Standard","01/11/2009","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37057402","LP384661-7","Alpha 2 globulin/Protein.total | Dialysis fluid | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40757597","54466-8","Alpha 2 globulin/Protein.total in Dialysis fluid by Electrophoresis","Lab Test","Standard","01/11/2009","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37168956","13441000237101","Aluminium molar concentration in dialysis fluid","Observable Entity","Standard","06/06/2023","12/30/2099","0","0","0","0","Measurement","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37059726","LP388124-2","Aluminum | Dialysis fluid | Drug toxicology","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","300","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3010042","5572-3","Aluminum [Mass/volume] in Dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","300","300","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3014912","15113-4","Aluminum [Moles/volume] in Dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40654310","LG42669-8","Aluminum|Moment in time|Dialysis fluid","LOINC Group","Classification","06/14/2018","12/30/2099","0","300","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40762469","59378-0","Amikacin [Mass/volume] in Serum or Plasma --post dialysis","Lab Test","Standard","04/08/2010","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","1023500","LP307835-1","Amikacin^post dialysis","LOINC Component","Non-Standard","12/31/1969","12/30/2099","0","0","0","0","Observation","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4210343","326370009","Amino acids peritoneal dialysis solution","Pharma/Biol Product","Standard","01/30/2002","12/30/2099","0","0","0","0","Device","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37024050","LP385229-2","Ammonia | Dialysis fluid | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40757480","54349-6","Ammonia [Mass/volume] in Dialysis fluid","Lab Test","Standard","12/17/2008","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3039586","53081-6","Ammonia [Moles/volume] in Dialysis fluid","Lab Test","Standard","05/05/2008","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40654327","LG42820-7","Ammonia|Moment in time|Dialysis fluid|17.031 g/mole","LOINC Group","Classification","06/14/2018","12/30/2099","0","0","0","0","Measurement","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37057539","LP382775-7","Amylase | Dialysis fluid | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","37067730","LP382776-5","Amylase | Dialysis fluid peritoneal | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","3008789","14390-9","Amylase [Enzymatic activity/volume] in Dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","40762132","59039-8","Amylase [Enzymatic activity/volume] in Peritoneal dialysis fluid","Lab Test","Standard","03/08/2010","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","37078461","LP382793-0","Amylase.pancreatic | Dialysis fluid peritoneal | Chemistry - non-challenge","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","36303626","88710-9","Amylase.pancreatic [Enzymatic activity/volume] in Peritoneal dialysis fluid","Lab Test","Standard","06/14/2018","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","4181417","52127004","Anesthesia for shunt revision, dialysis","Procedure","Standard","01/30/2002","12/30/2099","0","1,499,045","0","0","Procedure","SNOMED",""
"","44807877","846801000000104","Aneurysm of anastomotic site of dialysis arteriovenous fistula","Disorder","Standard","09/30/2012","12/30/2099","100","100","0","0","Condition","SNOMED",""
"","44807874","846731000000104","Aneurysm of dialysis arteriovenous fistula","Disorder","Standard","09/30/2012","12/30/2099","200","400","0","0","Condition","SNOMED",""
"","44811116","863331000000100","Aneurysm of dialysis vascular access","Disorder","Standard","03/31/2013","12/30/2099","0","0","0","0","Condition","SNOMED",""
"","44807875","846761000000109","Aneurysm of needle site of dialysis arteriovenous fistula","Disorder","Standard","09/30/2012","12/30/2099","0","0","0","0","Condition","SNOMED",""
"","44807870","846671000000106","Aneurysm of superficialised artery of dialysis arteriovenous fistula","Disorder","Standard","09/30/2012","12/30/2099","100","100","0","0","Condition","SNOMED",""
"","37072655","LP404140-8","Appearance | Dialysis fluid peritoneal | Specimen information","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Observation","LOINC",""
"","37078411","LP404139-0","Appearance | Dialysis fluid | Specimen information","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Observation","LOINC",""
"","40760944","57835-1","Appearance of Dialysis fluid","Lab Test","Standard","11/15/2009","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","3041209","40606-6","Appearance of Peritoneal dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","3039862","52812-5","Appearance of Spun Dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","37057330","LP404141-6","Appearance | Spun Dialysis fluid | Specimen information","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Observation","LOINC",""
"","1008091","LP124904-6","Are you currently on renal dialysis","LOINC Component","Non-Standard","12/31/1969","12/30/2099","0","0","0","0","Observation","LOINC",""
"","40768844","66161-1","Are you currently on renal dialysis [PhenX]","Clinical Observation","Standard","06/01/2011","12/30/2099","0","0","0","0","Observation","LOINC",""
"","762713","430921000124104","Army dialysis program","Procedure","Standard","08/31/2012","12/30/2099","0","0","0","0","Observation","SNOMED",""
"","37033607","LP388147-3","Arsenic | Dialysis fluid | Drug toxicology","LOINC Hierarchy","Classification","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","3038676","40701-5","Arsenic [Mass/volume] in Dialysis fluid","Lab Test","Standard","12/31/1969","12/30/2099","0","0","0","0","Measurement","LOINC",""
"","1988936","99734-6","Arterial lumen volume Dialysis catheter","Clinical Observation","Standard","02/15/2022","12/30/2099","0","0","0","0","Measurement","LOINC",""
