"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","42567616","4015505","CATHETER,INTERMITTENT LOFRIC 16FR ASTRATECH #900840","Device","Non-Standard","08/21/2001","08/21/2001","0","0","0","0","Device","VANDF","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","42567634","4015504","CATHETER,INTERMITTENT,SILICONE LOFRIC 8FR AT#900840","Device","Non-Standard","08/21/2001","08/21/2001","0","0","0","0","Device","VANDF","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","42567607","4011853","CATHETER,INTERMITTENT CONVEEN #5316,14IN","Device","Non-Standard","06/21/2001","06/21/2001","0","0","0","0","Device","VANDF","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217891","C1043","Atherectomy system, coronary, rotablator rotalink atherectomy catheter and burr, rotablator rotalink rotational atherectomy system advancer and guide wire (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218428","C2012","Catheter, ablation, biosense webster Celsius braided tip ablation catheter, biosense webster Celsius 5mm temperature ablation catheter, biosense webster celsius temperature sensing diagnostic/ablation tip catheter, biosense webster celsius... (Deprecated)","HCPCS","Standard","09/30/2000","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217992","C2014","Catheter, ablation, biosense webster Celsius ii asymmetrical ablation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217993","C2015","Catheter, ablation, biosense webster celsius ii symmetrical ablation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217991","C2013","Catheter, ablation, biosense webster celsius large dome ablation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217998","C2020","Catheter, ablation, blazer ii xp, blazer ii 6f, blazer ii high torque (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218000","C2022","Catheter, ablation, cardiac pathways chilli cooled ablation catheter models 41422, 41442, 45422, 45442, 43422, 43442 (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218001","C2023","Catheter, ablation, cardiac pathways chilli cooled ablation catheter, standard curve 3005 or large curve 3006 (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217898","C1056","Catheter, ablation, gynecare thermachoice II catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218452","C1104","Catheter, ablation, if conductr mc 4mm, rf conductr mc 5mm (models 6042, 7544) (Deprecated)","HCPCS","Standard","12/31/2000","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217883","C1003","Catheter, ablation, livewire tc ablation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217995","C2017","Catheter, ablation, navi-star diagnostic/ablation deflectable tip catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217994","C2016","Catheter, ablation, navi-star ds diagnostic/ablation catheter, navi-star thermo-cool temperature diagnostic/ablation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217996","C2018","Catheter, ablation, polaris t ablation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218440","C1026","Catheter ablation, RF Performr, 5F RF Marinr (Deprecated)","HCPCS","Standard","12/31/2000","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218026","C2610","Catheter, arrow flex tip plus intraspinal catheter kit (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218011","C2200","Catheter, arrow-trerotola percutaneous thrombolytic device catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218211","C8500","Catheter, atherectomy, atherocath-gto atherectomy catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217979","C1980","Catheter, atlantis sr coronary imaging catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218443","C1029","Catheter, balloon dilatation, controlled radial expansion (Deprecated)","HCPCS","Standard","12/31/2000","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217906","C1072","Catheter, balloon dilatation, coronary, rx esprit, rx gemini, rx Solaris, otw photon, otw Solaris (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217936","C1810","Catheter, balloon dilatation, dll4s over-the-wire balloon dilatation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218444","C1030","Catheter, balloon dilatation, marshal, blue max 20, ultra-thin diamond (Deprecated)","HCPCS","Standard","12/31/2000","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40218017","C2601","Catheter, bard lOf dual lumen ureteral catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40217969","C1938","Catheter, bard uroforce balloon dilatation catheter (Deprecated)","HCPCS","Standard","12/31/1999","03/30/2001","0","0","0","0","Device","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
