Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept
438480,39763004,"Abnormal glucose tolerance in mother complicating pregnancy, childbirth AND/OR puerperium",Disorder,Condition,SNOMED,Valid,Standard
438557,102660008,Glucose level outside reference range,Clinical Finding,Measurement,SNOMED,Valid,Non-standard
439402,372055003,Glucose tolerance test during pregnancy - baby delivered outside reference range,Clinical Finding,Measurement,SNOMED,Invalid,Non-standard
439403,372054004,Glucose tolerance test during pregnancy - baby not yet delivered outside reference range,Clinical Finding,Measurement,SNOMED,Invalid,Non-standard
440216,274858002,Glucose tolerance test outside reference range,Clinical Finding,Measurement,SNOMED,Valid,Non-standard
600681,1156099003,Past pregnancy history of pregnancy with abnormal glucose tolerance test,Context-dependent,Observation,SNOMED,Valid,Non-standard
600682,1156101005,Past pregnancy history of pregnancy with normal glucose tolerance test,Context-dependent,Observation,SNOMED,Valid,Non-standard
601350,464501000124101,Tryptone glucose yeast extract agar,Substance,Observation,SNOMED,Valid,Standard
602906,1145264005,Anhydrous glucose 40 mg/mL and potassium chloride 1.5 mg/mL and sodium chloride 1.8 mg/mL solution for injection,Clinical Drug,Drug,SNOMED,Valid,Non-standard
606573,1145256004,Anhydrous glucose 50 mg/mL and potassium chloride 3 mg/mL solution for injection,Clinical Drug,Drug,SNOMED,Valid,Non-standard
606576,1145257008,Anhydrous glucose 50 mg/mL and potassium chloride 2 mg/mL solution for injection,Clinical Drug,Drug,SNOMED,Valid,Non-standard
606577,1145258003,Anhydrous glucose 50 mg/mL and potassium chloride 1.5 mg/mL and sodium chloride 4.5 mg/mL solution for injection,Clinical Drug,Drug,SNOMED,Valid,Non-standard
606578,1145259006,Anhydrous glucose 50 mg/mL and potassium chloride 1.5 mg/mL solution for injection,Clinical Drug,Drug,SNOMED,Valid,Non-standard
606579,1145260001,Anhydrous glucose 40 mg/mL and potassium chloride 3 mg/mL and sodium chloride 1.8 mg/mL solution for injection,Clinical Drug,Drug,SNOMED,Valid,Non-standard
606580,1145261002,Anhydrous glucose 40 mg/mL and potassium chloride 2 mg/mL and sodium chloride 1.8 mg/mL solution for injection,Clinical Drug,Drug,SNOMED,Valid,Non-standard
607862,1156100006,Pregnancy with normal glucose tolerance test,Clinical Finding,Condition,SNOMED,Valid,Standard
618496,466091000124105,"Chopped meat broth with glucose, vitamin K, and Hemin",Substance,Observation,SNOMED,Valid,Standard
618584,470691000124108,Allergy to substance with sodium glucose cotransporter subtype 2 inhibitor mechanism of action,Clinical Finding,Observation,SNOMED,Valid,Standard
618585,470701000124108,Adverse reaction to substance with sodium glucose cotransporter subtype 2 inhibitor mechanism of action,Disorder,Observation,SNOMED,Valid,Standard
619860,926331008,Noninvasive interstitial fluid glucose spot-check device,Physical Object,Device,SNOMED,Valid,Standard
619861,926334000,Glucose monitoring equipment,Physical Object,Device,SNOMED,Valid,Standard
764288,453041000124104,Education about blood glucose monitor,Procedure,Observation,SNOMED,Valid,Standard
764690,5371000175108,Unable to afford glucose monitoring device,Clinical Finding,Observation,SNOMED,Valid,Standard
765618,444281000124102,Glucose water infant formula,Pharma/Biol Product,Device,SNOMED,Valid,Standard
1002230,93791-2,Glucose [Mass/volume] mean in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard
1002388,93794-6,Glucose tolerance and insulin sensitivity 2 hour panel - Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard
1005667,LP112413-2,PhenX measure - fasting plasma glucose for diabetes screening - blood draw,LOINC Component,Observation,LOINC,Invalid,Non-standard
1005668,LP112414-0,PhenX - fasting plasma glucose for diabetes screening - blood draw protocol 140801,LOINC Component,Observation,LOINC,Valid,Non-standard
1005669,LP112415-7,PhenX - fasting plasma glucose for diabetes screening - glucometer protocol 140802,LOINC Component,Observation,LOINC,Valid,Non-standard
1005670,LP112416-5,PhenX measure - glycosylated hemoglobin assay that reflects long-term glucose concentration,LOINC Component,Observation,LOINC,Invalid,Non-standard
1005671,LP112417-3,PhenX - glycosylated hemoglobin assay reflecting long-term glucose concentration protocol 140901,LOINC Component,Observation,LOINC,Valid,Non-standard
1005672,LP112418-1,PhenX measure - oral glucose tolerance test,LOINC Component,Observation,LOINC,Invalid,Non-standard
1005673,LP112419-9,PhenX - oral glucose tolerance test protocol 141001,LOINC Component,Observation,LOINC,Valid,Non-standard
1008108,LP124921-0,Exclusion criteria for fasting plasma glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1012042,LP157271-0,Glucose in serum,LOINC Component,Observation,LOINC,Valid,Non-standard
1012043,LP157272-8,Glucose in synovial fluid,LOINC Component,Observation,LOINC,Valid,Non-standard
1018492,LP269012-3,Glucose mean value,LOINC Component,Observation,LOINC,Invalid,Non-standard
1019908,LP28920-4,Glucose CSF/Glucose plas,LOINC Component,Observation,LOINC,Valid,Non-standard
1020662,LP304949-3,C peptide^1.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020666,LP304953-5,C peptide^10M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020676,LP304963-4,C peptide^15M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020681,LP304968-3,C peptide^1H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020684,LP304971-7,C peptide^1M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020687,LP304974-1,C peptide^2.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020690,LP304977-4,C peptide^2H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020696,LP304983-2,C peptide^3.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020697,LP304984-0,C peptide^30M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020699,LP304986-5,C peptide^3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020701,LP304988-1,C peptide^3M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020704,LP304991-5,C peptide^4.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020706,LP304993-1,C peptide^45M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020708,LP304995-6,C peptide^4H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020713,LP305000-4,C peptide^5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020716,LP305003-8,C peptide^5M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
