concept set,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,Domain,Vocabulary,,,,
end stage kidney disease,46284603,9.50311E+14,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,Disorder,Standard,3/31/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,46284602,9.50291E+14,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,Disorder,Standard,3/31/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,46284600,9.50251E+14,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,Disorder,Standard,3/31/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,46273164,712487000,End stage renal disease due to benign hypertension,Disorder,Standard,7/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,46270356,2.85011E+14,Chronic kidney disease stage 5 due to benign hypertension,Disorder,Standard,7/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45891368,1Z1f.00,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,Read,Non-Standard,3/25/15,12/30/99,Condition,Read,,,,
end stage kidney disease,45891188,1Z1e.00,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,Read,Non-Standard,3/25/15,12/30/99,Condition,Read,,,,
end stage kidney disease,45891129,1Z1d.00,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,Read,Non-Standard,3/25/15,12/30/99,Condition,Read,,,,
end stage kidney disease,45890479,1019320,"End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents",CPT4 Hierarchy,Classification,10/9/14,12/30/99,Observation,CPT4,,,,
end stage kidney disease,45890108,1019318,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents",CPT4 Hierarchy,Classification,10/9/14,12/30/99,Observation,CPT4,,,,
end stage kidney disease,45889533,1019321,"End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older",CPT4 Hierarchy,Classification,10/9/14,12/30/99,Observation,CPT4,,,,
end stage kidney disease,45889335,1019322,"End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day",CPT4 Hierarchy,Classification,10/9/14,12/30/99,Observation,CPT4,,,,
end stage kidney disease,45887996,1019051,End-Stage Renal Disease Services,CPT4 Hierarchy,Classification,10/9/14,12/30/99,Observation,CPT4,,,,
