"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"1954","EM VV Dialysis for CKD LLM output with descendants","2614984","A4719","""y set"" tubing for peritoneal dialysis","HCPCS","Device","HCPCS"
"1954","EM VV Dialysis for CKD LLM output with descendants","40409388","213116007","(Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts) or (infection: [graft] or [prosthetic]) or ([X] peritoneal dialysis associated peritonitis)","Clinical Finding","Condition","SNOMED"
"1954","EM VV Dialysis for CKD LLM output with descendants","44798389","441651000000103","[V]Adjustment and management of vascular access device","Context-dependent","Observation","SNOMED"
"1954","EM VV Dialysis for CKD LLM output with descendants","40519094","316285000","[V]Adjustment and management of vascular access device","Context-dependent","Observation","SNOMED"
"1954","EM VV Dialysis for CKD LLM output with descendants","3057171","316285000","[V]Adjustment and management of vascular access device","Context-dependent","Observation","Nebraska Lexicon"
"1954","EM VV Dialysis for CKD LLM output with descendants","40515244","309819001","[X] Peritoneal dialysis associated peritonitis","Clinical Finding","Condition","SNOMED"
"1954","EM VV Dialysis for CKD LLM output with descendants","44797026","429211000000100","[X] Peritoneal dialysis associated peritonitis","Clinical Finding","Condition","SNOMED"
"1954","EM VV Dialysis for CKD LLM output with descendants","3058679","309819001","[X] Peritoneal dialysis associated peritonitis","Clinical Finding","Condition","Nebraska Lexicon"
"1954","EM VV Dialysis for CKD LLM output with descendants","36895062","OMOP995546","1 ML Sodium Chloride 9 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43589755","OMOP724040","1 ML Sodium Chloride 9 MG/ML Injectable Solution [Isotonische Kochsalzloesung Baxter]","Quant Branded Drug","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43662021","OMOP724041","1 ML Sodium Chloride 9 MG/ML Injectable Solution [Isotonische Kochsalzloesung Baxter] by Baxter","Marketed Product","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43607741","OMOP724047","1 ML Sodium Chloride 9 MG/ML Injectable Solution [Isotonische Natriumchloridloesung Jenapharm]","Quant Branded Drug","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43643954","OMOP724048","1 ML Sodium Chloride 9 MG/ML Injectable Solution [Isotonische Natriumchloridloesung Jenapharm] by Mibe","Marketed Product","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43679987","OMOP724044","1 ML Sodium Chloride 9 MG/ML Injectable Solution [Natriumchlorid Noridem]","Quant Branded Drug","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43787601","OMOP724046","1 ML Sodium Chloride 9 MG/ML Injectable Solution [Natriumchlorid Noridem] by Noridem Enterprises","Marketed Product","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43679986","OMOP724043","1 ML Sodium Chloride 9 MG/ML Injectable Solution by Biokanol","Marketed Product","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","37593816","OMOP4783247","1 ML Sodium Chloride 9 MG/ML Injectable Solution by Tauro Implant","Marketed Product","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","43717778","OMOP776522","10 ML Sodium Chloride 9 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","35413815","OMOP1147400","10 ML Sodium Chloride 9 MG/ML Injectable Solution [CHLORURE DE SODIUM COOPER]","Quant Branded Drug","Drug","RxNorm Extension"
"1954","EM VV Dialysis for CKD LLM output with descendants","35413748","OMOP1147333","10 ML Sodium Chloride 9 MG/ML Injectable Solution [CHLORURE DE SODIUM COOPER] Box of 10","Quant Branded Box","Drug","RxNorm Extension"
